Code,Title,Details,Discussion,Type,Enforcement,Category
§164.310(a)(2)(ii),Facility Security Plan,"Implement policies and procedures to safeguard the facility and the equipment therein from unauthorized physical access, tampering, and theft.","§164.310(a)(1)  Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which they are housed, while ensuring that properly authorized access is allowed.",Physical,Addressable,Unknown
§164.310(a)(2)(iii),Access Control and Validation Procedures,"Implement procedures to control and validate a person’s access to facilities based on their role or function, including visitor control, and control of access to software programs for testing and revision.","§164.310(a)(1)  Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which they are housed, while ensuring that properly authorized access is allowed.",Physical,Addressable,Unknown
§164.310(a)(2)(iv),Maintenance Records,"Implement policies and procedures to document repairs and modifications to the physical components of a facility which are related to security (for example, hardware, walls, doors, and locks).","§164.310(a)(1)  Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which they are housed, while ensuring that properly authorized access is allowed.",Physical,Addressable,Unknown
§164.310(d)(2)(iii),Accountability,Maintain a record of the movements of hardware and electronic media and any person responsible therefore.,"§164.310(d)(1)  Implement policies and procedures that govern the receipt and removal of hardware and electronic media that contain electronic protected health information into and out of a facility, and the movement of these items within the facility.",Physical,Addressable,Unknown
§164.310(d)(2)(iv),Data Backup and Storage,"Create a retrievable, exact copy of electronic protected health information, when needed, before movement of equipment.","§164.310(d)(1)  Implement policies and procedures that govern the receipt and removal of hardware and electronic media that contain electronic protected health information into and out of a facility, and the movement of these items within the facility.",Physical,Addressable,Unknown
§164.312(a)(2)(iii),Automatic Logoff,Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.,§164.312(a)(1)   Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in §164.308(a)(4).,Technical,Addressable,Unknown
§164.312(a)(2)(iv),Encryption and Decryption,Implement a mechanism to encrypt and decrypt electronic protected health information.,§164.312(a)(1)   Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in §164.308(a)(4).,Technical,Addressable,Unknown
§164.312(c)(2),Mechanism to Authenticate EPHI,Implement electronic mechanisms to corroborate that electronic protected health information has not been altered or destroyed in an unauthorized manner.,§164.312(c)(1)  Implement policies and procedures to protect electronic protected health information from improper alteration or destruction.,Technical,Addressable,Unknown
§164.312(e)(2)(i),Integrity Controls,Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,§164.312(e)(1)   Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,Technical,Addressable,Unknown
§164.312(e)(2)(ii),Encryption,Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.,§164.312(e)(1)   Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,Technical,Addressable,Unknown
§164.308(a)(1)(ii)(A),Risk Analysis,"Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality, integrity, and availability of electronic protected health information held by the covered entity.","§164.308(a)(1)(i)  Implement policies and  to prevect, contain, and correct security violations.",Administrative,Mandatory,Unknown
§164.308(a)(1)(ii)(B),Risk Management,Implement security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level to comply with § 164.306(a).,"§164.308(a)(1)(i)  Implement policies and  to prevect, contain, and correct security violations.",Administrative,Mandatory,Unknown
§164.308(a)(1)(ii)(C),Sanction Policy,Apply appropriate sanctions against workforce members who fail to comply with the security policies and procedures of the covered entity.,"§164.308(a)(1)(i)  Implement policies and  to prevect, contain, and correct security violations.",Administrative,Mandatory,Unknown
§164.308(a)(1)(ii)(D),Information System Activity Review,"Implement procedures to regularly review records of information system activity, such as audit logs, access reports, and security incident tracking reports.","§164.308(a)(1)(i)  Implement policies and  to prevect, contain, and correct security violations.",Administrative,Mandatory,Unknown
§164.308(a)(2),Assigned Security Responsibility,Identify the security official who is responsible for the development and implementation of the policies and procedures required by this subpart for the entity.,,Administrative,Mandatory,Unknown
§164.308(a)(4)(ii)(A),Isolating Healthcare Clearinghouse Function,"If a health care clearinghouse is part of a larger organization, the clearinghouse must implement policies and procedures that protect the electronic protected health information of the clearinghouse from unauthorized access by the larger organization.",§164.308(a)(4)(i)  Implement policies and procedures for authorizing access to electronic protected health information that are consistent with the applicable requirements of subpart E of this part.,Administrative,Mandatory,Unknown
§164.308(a)(6)(ii),Response and Reporting," Identify and respond to suspected or known security incidents; mitigate, to the extent practicable, harmful effects of security incidents that are known to the covered entity; and document security incidents and their outcomes.",§164.308(a)(6)(i)  Implement policies and procedures to address security incidents.,Administrative,Mandatory,Unknown
§164.308(a)(7)(ii)(A),Data Backup Plan,Establish and implement procedures to create and maintain retrievable exact copies of electronic protected health information.,"§164.308(a)(7)(i)  Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disaster) that damages systems that contain electronic protected health information.",Administrative,Mandatory,Unknown
§164.308(a)(7)(ii)(B),Disaster Recovery Plan,Establish (and implement as needed) procedures to restore any loss of data.,"§164.308(a)(7)(i)  Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disaster) that damages systems that contain electronic protected health information.",Administrative,Mandatory,Unknown
164.308(a)(7)(ii)(C),Emergency Mode Operation Plan,Establish (and implement as needed) procedures to enable continuation of critical business processes for protection of the security of electronic protected health information while operating in emergency mode.,"§164.308(a)(7)(i)  Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disaster) that damages systems that contain electronic protected health information.",Administrative,Mandatory,Unknown
§164.308(a)(8)  ,Evaluation,"Perform a periodic technical and nontechnical evaluation, based initially upon the standards implemented under this rule and subsequently, in response to environmental or operational changes affecting the security of electronic protected health information, that establishes the extent to which anentity’s security policies and procedures meet the requirements of this subpart.",,Administrative,Mandatory,Unknown
§164.308(b)(4),Written Contract or Other Arrangement,Document the satisfactory assurances required by paragraph (b)(1) of this section through a written contract or other arrangement with the business associate that meets the applicable requirements of §164.314(a).,"§164.308(b)(1)   A covered entity, in accordance with §164.306, may permit a business associate to create, receive, maintain, or transmit electronic protected health information on the covered entity’s behalf only if the covered entity obtains satisfactory assurances, in accordance with §164.314(a) that the business associate will appropriately safeguard the information.",Administrative,Mandatory,Unknown
§164.310(b)   ,Workstation Use,"Implement policies and procedures that specify the proper functions to be performed, the manner in which those functions are to be performed, and the physical attributes of the surroundings of a specific workstation or class of workstation that can access electronic protected health information.",,Physical,Mandatory,Unknown
§164.310©,Workstation Security,"Implement physical safeguards for all workstations that access electronic protected health information, to restrict access to authorized users.",,Physical,Mandatory,Unknown
§164.310(d)(2)(i),Disposal,"Implement policies and procedures to address the final disposition of electronic protected health information, and/or the hardware or electronic media on which it is stored.","§164.310(d)(1)  Implement policies and procedures that govern the receipt and removal of hardware and electronic media that contain electronic protected health information into and out of a facility, and the movement of these items within the facility.",Physical,Mandatory,Unknown
§164.310(d)(2)(ii),Media Re-use,Implement procedures for removal of electronic protected health information from electronic media before the media are made available for re-use.,"§164.310(d)(1)  Implement policies and procedures that govern the receipt and removal of hardware and electronic media that contain electronic protected health information into and out of a facility, and the movement of these items within the facility.",Physical,Mandatory,Unknown
§164.312(a)(2)(i),Unique User Identification,Assign a unique name and/or number for identifying and tracking user identity.,§164.312(a)(1)   Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in §164.308(a)(4).,Technical,Mandatory,Unknown
§164.312(a)(2)(ii),Emergency Access Procedures,Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,§164.312(a)(1)   Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in §164.308(a)(4).,Technical,Mandatory,Unknown
§164.312(b)  ,Audit Controls,"Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",,Technical,Mandatory,Unknown
§164.312(d)   ,Person or Entity Authentication,Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,,Technical,Mandatory,Unknown
§164.314(a)(2)(i),Business Associate Contracts,"The contract between a covered entity and a business associate must provide that the business associate will—(A) Implement administrative, physical, and technical safeguards that reasonably and appropriately protect the confidentiality, integrity, and availability of the electronic protected health information that it creates, receives, maintains, or transmits on behalf of the covered entity as required by this subpart; (B) Ensure that any agent, including a subcontractor, to whom it provides such information agrees to implement reasonable and appropriate safeguards to protect it; (C) Report to the covered entity any security incident of which it becomes aware; (D) Authorize termination of the contract by the covered entity, if the covered entity determines that the business associate has violated a material term of the contract.","§164.314(a)(1):  (i) The contract or other arrangement between the covered entity and its business associate required by §164.308(b) must meet the requirements of paragraph (a)(2)(i) or (a)(2)(ii) of this section, as applicable.  (ii) A covered entity is not in compliance with the standards in §164.502(e) and paragraph (a) of this section if the covered entity knew of a pattern of an activity or practice of the business associate that constituted a material breach or violation of the business associate’s obligation under the contract or other arrangement, unless the covered entity took reasonable steps to cure the breach or end the violation, as applicable, and, if such steps were unsuccessful— (A) Terminated the contract or arrangement, if feasible; or (B) If termination is not feasible, reported the problem to the Secretary.",Administrative,Mandatory,Unknown
§164.314(a)(2)(ii),Other Arrangements,"(A) When a covered entity and its business associate are both governmental entities, the covered entity is in compliance with paragraph (a)(1) of this section, if—(1) It enters into a memorandum of understanding with the business associate that contains terms that accomplish the objectives of paragraph (a)(2)(i) of this section; or  (2) Other law (including regulations adopted by the covered entity or its business associate) contains requirements applicable to the business associate that accomplish the objectives of paragraph (a)(2)(i) of this section.

(B) If a business associate is required by law to perform a function or activity on behalf of a covered entity or to provide a service described in the definition of business associate as specified in § 160.103 of this subchapter to a covered entity, the covered entity may permit the business associate to create, receive, maintain, or transmit electronic protected health information on its behalf to the extent necessary to comply with the legal mandate without meeting the requirements of paragraph (a)(2)(i) of this section, provided that the covered entity attempts in good faith to obtain satisfactory assurances as required by paragraph (a)(2)(ii)(A) of this section, and documents the attempt and the reasons that these assurances cannot be obtained.  (C) The covered entity may omit from its other arrangements authorization of the termination of the contract by the covered entity, as required by paragraph (a)(2)(i)(D) of this section if such authorization is inconsistent with the statutory obligations of the covered entity or its business associate.","§164.314(a)(1):  (i) The contract or other arrangement between the covered entity and its business associate required by §164.308(b) must meet the requirements of paragraph (a)(2)(i) or (a)(2)(ii) of this section, as applicable.  (ii) A covered entity is not in compliance with the standards in §164.502(e) and paragraph (a) of this section if the covered entity knew of a pattern of an activity or practice of the business associate that constituted a material breach or violation of the business associate’s obligation under the contract or other arrangement, unless the covered entity took reasonable steps to cure the breach or end the violation, as applicable, and, if such steps were unsuccessful— (A) Terminated the contract or arrangement, if feasible; or (B) If termination is not feasible, reported the problem to the Secretary.",Administrative,Mandatory,Unknown
§164.314(b)(2),Plan Documents,"The plan documents of the group health plan must be amended to incorporate provisions to require the plan sponsor to—(i) Implement administrative, physical, and technical safeguards that reasonably and appropriately protect the confidentiality, integrity, and availability of the electronic protected health information that it creates, receives, maintains, or transmits on behalf of the group health plan; (ii) Ensure that the adequate separation required by § 164.504(f)(2)(iii) is supported by reasonable and appropriate security measures; (iii) Ensure that any agent, including a subcontractor, to whom it provides this information agrees to implement reasonable and appropriate security measures to protect the information; and (iv) Report to the group health plan any security incident of which it becomes aware.","§164.314(b)(1) Except when the only electronic protected health information disclosed to a plan sponsor is disclosed pursuant to §164.504(f)(1)(ii) or (iii), or as authorized under § 164.508, a group health plan must ensure that its plan documents provide that the plan sponsor will reasonably and appropriately safeguard electronic protected health information created, received, maintained, or transmitted to or by the plan sponsor on behalf of the group health plan.",Administrative,Mandatory,Unknown
§164.316(a),Policy and Procedures ," Implement reasonable and appropriate policies and procedures to comply with the standards, implementation specifications, or other requirements of this subpart, taking into account those factors specified in §164.306(b)(2)(i), (ii), (iii), and (iv). This standard is not to be construed to permit or excuse an action that violates any other standard, implementation specification, or other requirements of this subpart. A covered entity may change its policies and procedures at any time, provided that the changes are documented and are implemented in accordance with this subpart.",,Administrative,Mandatory,Unknown
§164.316(b)(2)(i),Time Limit,"Retain the documentation required by paragraph (b)(1) of this section for 6 years from the date of its creation or the date when it last was in effect, whichever is later.","§164.316(b)(1)  (i) Maintain the policies and procedures implemented to comply with this subpart in written (which may be electronic) form; and (ii) If an action, activity or assessment is required by this subpart to be documented, maintain a written (which may be electronic) record of the action, activity, or assessment.",Administrative,Mandatory,Unknown
§164.316(b)(1),Availability,Make documentation available to those persons responsible for implementing the procedures to which the documentation pertains.,"§164.316(b)(1)  (i) Maintain the policies and procedures implemented to comply with this subpart in written (which may be electronic) form; and (ii) If an action, activity or assessment is required by this subpart to be documented, maintain a written (which may be electronic) record of the action, activity, or assessment.",Administrative,Mandatory,Unknown
§164.316(b)(1),Updates,"Review documentation periodically, and update as needed, in response to environmental or operational changes affecting the security of the electronic protected health information.","§164.316(b)(1)  (i) Maintain the policies and procedures implemented to comply with this subpart in written (which may be electronic) form; and (ii) If an action, activity or assessment is required by this subpart to be documented, maintain a written (which may be electronic) record of the action, activity, or assessment.",Administrative,Mandatory,Unknown
